filename,axial_samples,lateral_samples,initial_radius,final_radius,initial_angle,final_angle,f0,datapath,probe,scanner,target,f0_mhz,span_deg,focus_cm,v,harm
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161214134945_3.mat,1024,256,510.8571428571429,1534.857142857143,-0.6073603630065918,0.6073603630065918,3636400.0,/getlab/wjl11/study_high_mi_yd17/volunteer_liver/v3/4c1/bmode/uri_SpV5192_VpF512_FpA7_20161214134926.rfd,4c1,siemens s2000,liver,3.6,69.59837088762269,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108124406_2.mat,1296,256,918.8555194805116,2214.8555194805112,-0.5773020386695862,0.5761761963367462,2666600.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/dax/mmode/uri_SpV10388_VpF168_FpA8_20161108124401.rfd,dax,siemens s2000,liver,2.7,66.0894346260622,11.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123659_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123659.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123701_2.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123703_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123705_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123727_2.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123729_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123731_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
rfd_liver_highmi.uri_SpV10388_VpF168_FpA8_20161108123733_1.mat,2048,256,510.8571428571429,2558.857142857143,-0.6073603630065918,0.6084920167922974,3636400.0,/getlab/wjl11/study_high_mi_yd17/patient_liver/p11/4c1/mmode/uri_SpV10388_VpF168_FpA8_20161108123701.rfd,4c1,siemens s2000,liver,3.6,69.6632098734136,6.0,,1
