filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161214154813_4.mat,0.0009320043,0.023537407,0.9770113,0.978985,0.99797475,30.30582,0.9931617820844202,0.015672188,0.11865374,0.7134876,0.74590564,0.95133847,18.048702,0.9639891026652168,0.00037437346,0.01478692,0.9784569,0.97899467,0.99943805,34.26695,0.9932558263463467,0.00037437346,0.01478692,0.9784569,0.97899467,0.99943805,34.26695,0.9932558263463467
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161220150812_3.mat,0.0012654719,0.029361827,0.9742747,0.97681004,0.9973971,28.977474,0.9845983422050862,0.012734586,0.10617249,0.7566398,0.7748017,0.9760811,18.950151,0.937965169681309,0.00043276252,0.015991725,0.9785092,0.97900265,0.99949044,33.6375,0.9856966506162915,0.00043276252,0.015991725,0.9785092,0.97900265,0.99949044,33.6375,0.9856966506162915
verasonics.20180827104849_channelData_part7_0.mat,0.0041716844,0.051979072,0.95027554,0.9696513,0.98003644,23.796885,0.9880011137020138,0.036619272,0.18081981,0.42998475,0.53112006,0.79070216,14.362903,0.9537455569719338,0.0008313277,0.021940969,0.9466417,0.9521621,0.99256736,30.802275,0.9891086851498957,0.0008313277,0.021940969,0.9466417,0.9521621,0.99256736,30.802275,0.9891086851498957
verasonics.20170523143041_channelData_part22_0.mat,0.0027596557,0.04511413,0.96949595,0.9763732,0.9929582,25.59145,0.9600058764446696,0.031467795,0.17180805,0.66899264,0.71811366,0.931439,15.021336,0.9025623798625244,0.00096918765,0.024133127,0.9689762,0.9703345,0.998587,30.13592,0.9605089006532535,0.00096918765,0.024133127,0.9689762,0.9703345,0.998587,30.13592,0.9605089006532535
rfd_fetal_ch.uri_SpV7272_VpF908_FpA9_20121113154148_1.mat,0.0021458117,0.038569927,0.96405107,0.97050554,0.9933295,26.684084,0.9816402534632386,0.041987643,0.1988168,0.606861,0.67826176,0.89109445,13.7687845,0.9184734374250112,0.00066110725,0.019727968,0.97146976,0.972391,0.9990407,31.797281,0.980763546447716,0.00066110725,0.019727968,0.97146976,0.972391,0.9990407,31.797281,0.980763546447716
sc_fetal_ch.20160909160351_diff_49.mat,0.0076312404,0.07631222,0.91408664,0.9340456,0.9788735,21.174047,0.9743348771110579,0.02441727,0.13796328,0.60953516,0.65363,0.92909163,16.123028,0.9278242844087963,0.0009705557,0.022061596,0.9622587,0.96308136,0.9991382,30.129793,0.9761245467944433,0.0009705557,0.022061596,0.9622587,0.96308136,0.9991382,30.129793,0.9761245467944433
sc_fetal_ch.20160912110254_diff_49.mat,0.010602959,0.087743856,0.9446409,0.9599716,0.9839528,19.74573,0.977292828765281,0.008078598,0.07500388,0.6451804,0.6570024,0.9809213,20.926638,0.9286043662324099,0.0010378825,0.025116645,0.9658785,0.9669312,0.9988904,29.838516,0.9754934459649924,0.0010378825,0.025116645,0.9658785,0.9669312,0.9988904,29.838516,0.9754934459649924
verasonics.20181112134346_channelData_part33_1.mat,0.0011549622,0.02976489,0.9738881,0.9761618,0.9976708,29.374321,0.9472688010783777,0.025343932,0.15002374,0.41116795,0.42749625,0.96190625,15.96126,0.7680722986918952,0.0015420056,0.027782755,0.93985546,0.94145554,0.998201,28.119139,0.9103784233403089,0.0015420056,0.027782755,0.93985546,0.94145554,0.998201,28.119139,0.9103784233403089
verasonics.20170523113339_channelData_part31_1.mat,0.0029179475,0.051546168,0.971016,0.9760086,0.99487317,25.349224,0.9810681012567358,0.0071258517,0.0740045,0.46152073,0.46484053,0.9928914,21.471632,0.7997085446386423,0.00046083794,0.015201492,0.9569033,0.95730877,0.9995572,33.364517,0.9756028400566505,0.00046083794,0.015201492,0.9569033,0.95730877,0.9995572,33.364517,0.9756028400566505
sc_fetal_ch.20160902154837_diff_52.mat,0.009129156,0.0913043,0.94644636,0.9707368,0.974967,20.395693,0.9819959966339614,0.010604545,0.09096693,0.6438343,0.6528636,0.98577005,19.745079,0.9030350138925528,0.00074904016,0.020364404,0.9707064,0.9713541,0.9993271,31.25495,0.9825487137386841,0.00074904016,0.020364404,0.9707064,0.9713541,0.9993271,31.25495,0.9825487137386841
