filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161214154813_4.mat,0.0013447411,0.027957883,0.9600878,0.9626539,0.9973051,28.713612,0.9917373487112127,0.01567219,0.11865374,0.71349025,0.7459083,0.95133847,18.048702,0.9639891026652168,0.00040346215,0.014590628,0.96459067,0.9651527,0.9993973,33.94197,0.9927318022945317,0.00040346215,0.014590628,0.96459067,0.9651527,0.9993973,33.94197,0.9927318022945317
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161220150812_3.mat,0.0024117222,0.042399075,0.9553889,0.9596926,0.9954936,26.176727,0.986108104151719,0.012734586,0.10617249,0.7566429,0.77480483,0.9760811,18.950151,0.937965169681309,0.000403846,0.0149683375,0.9656835,0.9660689,0.9995968,33.93784,0.9866523886590668,0.000403846,0.0149683375,0.9656835,0.9660689,0.9995968,33.93784,0.9866523886590668
verasonics.20180827104849_channelData_part7_0.mat,0.0032894446,0.04945193,0.92309844,0.9556145,0.9652037,24.828773,0.9905913020121969,0.036619272,0.18081978,0.42998773,0.5311233,0.7907022,14.362903,0.9537455569719338,0.0006456889,0.01684728,0.9221605,0.926428,0.99368376,31.899767,0.9915404751013623,0.0006456889,0.01684728,0.9221605,0.926428,0.99368376,31.899767,0.9915404751013623
verasonics.20170523143041_channelData_part22_0.mat,0.0013935812,0.032161903,0.9580362,0.9619773,0.9958858,28.558676,0.9718256076137615,0.031467795,0.17180805,0.66899514,0.7181162,0.9314389,15.021336,0.9025623798625244,0.0006405852,0.01746612,0.9583689,0.95904785,0.9992728,31.934229,0.9738984442501386,0.0006405852,0.01746612,0.9583689,0.95904785,0.9992728,31.934229,0.9738984442501386
rfd_fetal_ch.uri_SpV7272_VpF908_FpA9_20121113154148_1.mat,0.0033278177,0.05214929,0.94278544,0.95467746,0.98751366,24.778404,0.9749206622806238,0.041987643,0.19881682,0.6068631,0.678264,0.8910944,13.7687845,0.9184734374250112,0.0008534779,0.021444656,0.951042,0.95216817,0.99878424,30.688074,0.9751661547528433,0.0008534779,0.021444656,0.951042,0.95216817,0.99878424,30.688074,0.9751661547528433
sc_fetal_ch.20160909160351_diff_49.mat,0.005108932,0.061293717,0.89632,0.91179496,0.98324424,22.916698,0.9865214245290789,0.024417266,0.13796327,0.60953885,0.6536339,0.92909163,16.12303,0.9278242844087963,0.0007191584,0.017582433,0.93973476,0.9403407,0.9992671,31.431753,0.9823088962757693,0.0007191584,0.017582433,0.93973476,0.9403407,0.9992671,31.431753,0.9823088962757693
sc_fetal_ch.20160912110254_diff_49.mat,0.008852055,0.08095802,0.91133285,0.9231814,0.98703676,20.529558,0.9820004983463037,0.008078598,0.07500388,0.64518505,0.65700716,0.9809214,20.926638,0.9286043662324099,0.00091428065,0.020473635,0.9404244,0.9414704,0.9988091,30.389204,0.9784119622045022,0.00091428065,0.020473635,0.9404244,0.9414704,0.9988091,30.389204,0.9784119622045022
verasonics.20181112134346_channelData_part33_1.mat,0.00067846134,0.0213867,0.96161336,0.9628587,0.9986576,31.684748,0.9634724460326217,0.02534393,0.15002374,0.41117555,0.4275041,0.96190625,15.96126,0.7680722986918952,0.0009410691,0.019273154,0.92277116,0.9233454,0.9992494,30.263783,0.9454171722102465,0.0009410691,0.019273154,0.92277116,0.9233454,0.9992494,30.263783,0.9454171722102465
verasonics.20170523113339_channelData_part31_1.mat,0.005383464,0.07040881,0.9518738,0.9609395,0.990534,22.68938,0.9823609599705811,0.007125852,0.074004486,0.46152973,0.4648496,0.99289143,21.471632,0.7997085446386423,0.0004096774,0.013595353,0.9364792,0.9367706,0.99966747,33.875576,0.9783113355864895,0.0004096774,0.013595353,0.9364792,0.9367706,0.99966747,33.875576,0.9783113355864895
sc_fetal_ch.20160902154837_diff_52.mat,0.0059927427,0.07005769,0.9200855,0.93209773,0.9871596,22.223743,0.9587576300432119,0.010604544,0.09096694,0.64383817,0.6528675,0.9857701,19.745079,0.9030350138925528,0.0014841798,0.026494361,0.93423384,0.9354221,0.99866784,28.285135,0.9654613679155153,0.0014841798,0.026494361,0.93423384,0.9354221,0.99866784,28.285135,0.9654613679155153
