filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
refocus_20181005514526_cardiac_part0_0.mat,0.05412406,0.23014309,0.6836734,0.9435041,0.7246644,12.666096,0.9765976364303367,0.011770032,0.0886624,0.53020734,0.5457951,0.968476,19.292223,0.9211776251776839,0.001446768,0.026719024,0.92310506,0.9282137,0.9940561,28.39601,0.9746337892149974,0.001446768,0.026719024,0.92310506,0.9282137,0.9940561,28.39601,0.9746337892149974
refocus_20181005514526_cardiac_part1_0.mat,0.05421948,0.23033404,0.6848116,0.94277185,0.726627,12.658446,0.9762806017278632,0.011804286,0.08868939,0.53710055,0.55251145,0.96933174,19.279602,0.9187530949141093,0.0014265693,0.02701299,0.9238773,0.92880625,0.9943888,28.45707,0.9744850773019821,0.0014265693,0.02701299,0.9238773,0.92880625,0.9943888,28.45707,0.9744850773019821
refocus_20181005514526_cardiac_part2_0.mat,0.05426188,0.2304035,0.694506,0.9442,0.7360355,12.655051,0.9760430391076268,0.01174659,0.088209845,0.53995985,0.55464613,0.97112536,19.300882,0.9158028122944901,0.0013709689,0.026274713,0.928741,0.93278086,0.99543804,28.629723,0.9748264574897881,0.0013709689,0.026274713,0.928741,0.93278086,0.99543804,28.629723,0.9748264574897881
refocus_20181005514526_cardiac_part3_0.mat,0.054247685,0.23029849,0.69551015,0.94300723,0.7378002,12.656188,0.9757002814344016,0.011742533,0.08791712,0.5380931,0.55234426,0.9717919,19.302382,0.9154747132323708,0.0014149137,0.026875747,0.9263582,0.93069196,0.99510366,28.492699,0.9742116544163042,0.0014149137,0.026875747,0.9263582,0.93069196,0.99510366,28.492699,0.9742116544163042
refocus_20181005514526_cardiac_part4_0.mat,0.054447714,0.23067492,0.7049069,0.9431758,0.7477971,12.6402025,0.9752501038877187,0.01158728,0.0872234,0.54641485,0.5598876,0.9738788,19.360186,0.9133239879877055,0.0013598381,0.026250727,0.9294715,0.933192,0.99581736,28.665127,0.974505756931424,0.0013598381,0.026250727,0.9294715,0.933192,0.99581736,28.665127,0.974505756931424
refocus_20181005514526_cardiac_part5_0.mat,0.054644227,0.2311232,0.7085984,0.94532293,0.749343,12.624557,0.9757334975975082,0.011515921,0.08668339,0.549589,0.5627468,0.9749592,19.38701,0.9127541234159743,0.0013728765,0.026521748,0.93165624,0.9356919,0.9954479,28.623684,0.9742231627413728,0.0013728765,0.026521748,0.93165624,0.9356919,0.9954479,28.623684,0.9742231627413728
refocus_20181005514526_cardiac_part6_0.mat,0.05410546,0.23005584,0.7065141,0.9431548,0.748515,12.667588,0.976805425803716,0.011456184,0.086397104,0.5466322,0.5598237,0.9748318,19.4096,0.9137960210814315,0.0013123677,0.026024206,0.9313886,0.9352504,0.995636,28.819443,0.9755436982584149,0.0013123677,0.026024206,0.9313886,0.9352504,0.995636,28.819443,0.9755436982584149
refocus_20181005514526_cardiac_part7_0.mat,0.053991463,0.22964153,0.7054135,0.9401359,0.7497944,12.676748,0.9756080681623996,0.011437704,0.085772425,0.5480999,0.5610666,0.97522163,19.41661,0.9130806773167908,0.0013954631,0.026928673,0.92858464,0.93275243,0.9952401,28.552814,0.9742384902363902,0.0013954631,0.026928673,0.92858464,0.93275243,0.9952401,28.552814,0.9742384902363902
refocus_20181005514526_cardiac_part8_0.mat,0.05447949,0.23077017,0.70513785,0.9416035,0.74862814,12.637669,0.9751730952200568,0.011341112,0.08595686,0.5495591,0.5627489,0.97484386,19.453444,0.9151925895903004,0.0014031754,0.027308254,0.9278441,0.93195224,0.9953539,28.52888,0.9739550771327794,0.0014031754,0.027308254,0.9278441,0.93195224,0.9953539,28.52888,0.9739550771327794
refocus_20181005514526_cardiac_part9_0.mat,0.05429419,0.23039417,0.70591944,0.94334525,0.74806094,12.652466,0.9754135626572171,0.011316423,0.08621115,0.5474462,0.5606102,0.97475463,19.462908,0.916777178496384,0.0014165355,0.0269648,0.9290755,0.9331943,0.99528027,28.487724,0.9739478447209893,0.0014165355,0.0269648,0.9290755,0.9331943,0.99528027,28.487724,0.9739478447209893
