filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
refocus_20181005514526_cardiac_part0_0.mat,0.0011584474,0.023252735,0.9223012,0.9435051,0.9761999,29.361235,0.9765976371447347,0.024999088,0.14693564,0.44879177,0.54579705,0.8068905,16.020758,0.9211776251776839,0.001446768,0.02671902,0.9231061,0.9282149,0.9940562,28.39601,0.9746337907862153,0.001446768,0.02671902,0.9231061,0.9282149,0.9940562,28.39601,0.9746337907862153
refocus_20181005514526_cardiac_part1_0.mat,0.0011659409,0.02365218,0.9237319,0.94277185,0.9787524,29.333233,0.9762806049701284,0.025129044,0.14718828,0.45490798,0.552513,0.80906487,15.99824,0.9187530949141093,0.0014265688,0.027012993,0.9238783,0.9288074,0.994389,28.457071,0.9744850833417656,0.0014265688,0.027012993,0.9238783,0.9288074,0.994389,28.457071,0.9744850833417656
refocus_20181005514526_cardiac_part2_0.mat,0.0011769944,0.023511212,0.9283681,0.94420016,0.982524,29.292253,0.9760430386776632,0.025396679,0.14798778,0.45896107,0.5546483,0.81512576,15.95223,0.9158028122944901,0.0013709685,0.026274713,0.92874223,0.9327823,0.9954383,28.629725,0.974826460311671,0.0013709685,0.026274713,0.92874223,0.9327823,0.9954383,28.629725,0.974826460311671
refocus_20181005514526_cardiac_part3_0.mat,0.0012108443,0.023886794,0.92655206,0.9430071,0.98173475,29.169115,0.9757002803398925,0.025522042,0.14824821,0.457507,0.55234665,0.8153767,15.930845,0.9154747132323705,0.0014149143,0.026875751,0.92635924,0.93069285,0.99510396,28.492697,0.9742116420570136,0.0014149143,0.026875751,0.92635924,0.93069285,0.99510396,28.492697,0.9742116420570136
refocus_20181005514526_cardiac_part4_0.mat,0.0012375088,0.02408785,0.9274656,0.9431765,0.9826935,29.074516,0.9752501048241914,0.025943562,0.14963911,0.46632004,0.55988944,0.81953377,15.859704,0.9133239879877053,0.0013598378,0.026250733,0.92947286,0.9331933,0.99581766,28.665129,0.9745057581008911,0.0013598378,0.026250733,0.92947286,0.9331933,0.99581766,28.665129,0.9745057581008911
refocus_20181005514526_cardiac_part5_0.mat,0.0012270038,0.024321245,0.92793155,0.9453232,0.98086286,29.111538,0.9757334946193806,0.02631078,0.15081558,0.4683436,0.5627485,0.8197872,15.798662,0.9127541234159743,0.0013728767,0.026521744,0.93165725,0.93569297,0.9954482,28.623684,0.9742231640619248,0.0013728767,0.026521744,0.93165725,0.93569297,0.9954482,28.623684,0.9742231640619248
refocus_20181005514526_cardiac_part6_0.mat,0.0011805675,0.024165781,0.9255189,0.9431552,0.98042107,29.279089,0.9768054239586561,0.02603906,0.14993618,0.4662687,0.5598257,0.820746,15.843746,0.9137960210814315,0.0013123682,0.026024213,0.93138987,0.93525165,0.99563634,28.81944,0.9755436885269655,0.0013123682,0.026024213,0.93138987,0.93525165,0.99563634,28.81944,0.9755436885269655
refocus_20181005514526_cardiac_part7_0.mat,0.0012569858,0.024941929,0.92207646,0.9401362,0.9797904,29.006695,0.9756080685115635,0.026184855,0.15029195,0.46769944,0.5610685,0.8213449,15.819497,0.9130806773167908,0.0013954636,0.026928667,0.92858565,0.9327535,0.9952404,28.552814,0.9742384819666877,0.0013954636,0.026928667,0.92858565,0.9327535,0.9952404,28.552814,0.9742384819666877
refocus_20181005514526_cardiac_part8_0.mat,0.0012249064,0.025114343,0.9240406,0.9416043,0.98068774,29.118969,0.9751730958999446,0.026200747,0.15064506,0.46874973,0.5627509,0.82163197,15.816862,0.9151925895903006,0.0014031752,0.02730825,0.9278454,0.9319533,0.99535406,28.52888,0.9739550841078145,0.0014031752,0.02730825,0.9278454,0.9319533,0.99535406,28.52888,0.9739550841078145
refocus_20181005514526_cardiac_part9_0.mat,0.0012141338,0.024461985,0.92640156,0.9433456,0.98120666,29.157331,0.9754135599688238,0.02599499,0.14995943,0.46858087,0.56061226,0.8230829,15.851103,0.9167771784963838,0.0014165359,0.026964806,0.9290766,0.93319553,0.99528044,28.487722,0.9739478363578625,0.0014165359,0.026964806,0.9290766,0.93319553,0.99528044,28.487722,0.9739478363578625
