filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
refocus_20181005514526_cardiac_part0_0.mat,0.051256884,0.2237824,0.73386717,0.944728,0.777462,12.902477,0.9785341104425361,0.010717967,0.08260593,0.5299481,0.5411496,0.9769624,19.698875,0.9271787365434668,0.0014438414,0.026358545,0.9251077,0.92919147,0.99522907,28.404804,0.9769787206213636,0.0014438414,0.026358545,0.9251077,0.92919147,0.99522907,28.404804,0.9769787206213636
refocus_20181005514526_cardiac_part1_0.mat,0.053093676,0.2276757,0.7407053,0.9450217,0.78431886,12.749572,0.9767408046386353,0.011320111,0.08525657,0.5366312,0.5477529,0.977882,19.461493,0.9208819981110029,0.001409251,0.026468273,0.92951113,0.9331129,0.9959333,28.510115,0.9762419396188534,0.001409251,0.026468273,0.92951113,0.9331129,0.9959333,28.510115,0.9762419396188534
refocus_20181005514526_cardiac_part2_0.mat,0.059213102,0.24081545,0.7163683,0.9449429,0.7585183,12.275822,0.9770040428404184,0.013789255,0.097339615,0.5360664,0.55102915,0.9705856,18.604591,0.9169014457215362,0.0013428649,0.02618341,0.92964655,0.93312204,0.996057,28.719675,0.9765323529074355,0.0013428649,0.02618341,0.92964655,0.93312204,0.996057,28.719675,0.9765323529074355
refocus_20181005514526_cardiac_part3_0.mat,0.053604014,0.22871917,0.7583019,0.94588995,0.8019562,12.708026,0.9751266037984841,0.011318738,0.08514767,0.54214317,0.5523499,0.980265,19.462019,0.9162303381017464,0.0014400317,0.026817983,0.93207985,0.9352528,0.9964212,28.416279,0.9742924910538067,0.0014400317,0.026817983,0.93207985,0.9352528,0.9964212,28.416279,0.9742924910538067
refocus_20181005514526_cardiac_part4_0.mat,0.056613907,0.2351856,0.7570802,0.9452583,0.8009032,12.470768,0.974567458974307,0.012314326,0.09005921,0.54630184,0.55731344,0.979051,19.095892,0.9126883515346742,0.0014151598,0.026780635,0.9321145,0.9351302,0.9964644,28.491945,0.9739027684638748,0.0014151598,0.026780635,0.9321145,0.9351302,0.9964644,28.491945,0.9739027684638748
refocus_20181005514526_cardiac_part5_0.mat,0.050212186,0.22122875,0.76700836,0.9446045,0.8121431,12.991908,0.9749525853376342,0.009876313,0.07754271,0.55008847,0.55842423,0.98442817,20.05405,0.9138764402047431,0.001386643,0.026312876,0.9333194,0.9362623,0.99663574,28.580353,0.9740242987026938,0.001386643,0.026312876,0.9333194,0.9362623,0.99663574,28.580353,0.9740242987026938
refocus_20181005514526_cardiac_part6_0.mat,0.055476844,0.23266986,0.7457314,0.9406043,0.7927557,12.558883,0.9747702396975174,0.012042195,0.08859679,0.5460556,0.5574809,0.9784942,19.192944,0.9162473021094932,0.0014799392,0.027464872,0.92738193,0.93044174,0.9964501,28.29756,0.9736373023569652,0.0014799392,0.027464872,0.92738193,0.93044174,0.9964501,28.29756,0.9736373023569652
refocus_20181005514526_cardiac_part7_0.mat,0.05544882,0.23262003,0.7536769,0.94081897,0.80063087,12.561076,0.9752866690781834,0.011871659,0.08736655,0.5474603,0.5579626,0.9801281,19.254885,0.9155827229376018,0.0015194931,0.027798574,0.9260292,0.9293875,0.99611294,28.183012,0.973330270508596,0.0015194931,0.027798574,0.9260292,0.9293875,0.99611294,28.183012,0.973330270508596
refocus_20181005514526_cardiac_part8_0.mat,0.052651837,0.22648096,0.76486975,0.9403512,0.8126044,12.785864,0.9744787388023012,0.0108535355,0.08247163,0.5536183,0.56305116,0.9825131,19.644287,0.9170658918139344,0.0015361588,0.027854035,0.92692184,0.93045026,0.99587774,28.135637,0.9729095293829417,0.0015361588,0.027854035,0.92692184,0.93045026,0.99587774,28.135637,0.9729095293829417
refocus_20181005514526_cardiac_part9_0.mat,0.05402734,0.2295427,0.7476671,0.9411377,0.7936315,12.673863,0.9751264788194158,0.011410708,0.08517706,0.54782665,0.55841255,0.9798464,19.426874,0.917508152131329,0.001488881,0.02725993,0.92657423,0.9299092,0.9960193,28.271399,0.9743050859998217,0.001488881,0.02725993,0.92657423,0.9299092,0.9960193,28.271399,0.9743050859998217
