filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161214154813_4.mat,0.007613537,0.08077451,0.85448575,0.9231298,0.92219853,21.184135,0.9878639647870452,0.01567219,0.11865374,0.71349025,0.7459083,0.95133847,18.048702,0.9639891026652168,0.00064459525,0.017516863,0.9254946,0.9261818,0.99894583,31.907127,0.9883879395066782,0.00064459525,0.017516863,0.9254946,0.9261818,0.99894583,31.907127,0.9883879395066782
rfd_liver_highmi.uri_SpV5192_VpF512_FpA7_20161220150812_3.mat,0.008176507,0.08544774,0.89918536,0.92744446,0.9691536,20.87432,0.9801273087081436,0.012734586,0.10617249,0.7566429,0.77480483,0.9760811,18.950151,0.937965169681309,0.0006176636,0.018075384,0.93517137,0.93565136,0.99947006,32.092476,0.9795855112661831,0.0006176636,0.018075384,0.93517137,0.93565136,0.99947006,32.092476,0.9795855112661831
verasonics.20180827104849_channelData_part7_0.mat,0.0019206135,0.0344569,0.8093557,0.88093823,0.91835445,27.1656,0.9783044173850184,0.036619272,0.18081978,0.42998773,0.5311233,0.7907022,14.362903,0.9537455569719338,0.0021605054,0.028875824,0.7844035,0.79071635,0.9801333,26.654446,0.9717126681479841,0.0021605054,0.028875824,0.7844035,0.79071635,0.9801333,26.654446,0.9717126681479841
verasonics.20170523143041_channelData_part22_0.mat,0.0019838063,0.035430558,0.9063168,0.9145126,0.9910507,27.025005,0.9649567626256594,0.031467795,0.17180805,0.66899514,0.7181162,0.9314389,15.021336,0.9025623798625244,0.0008571694,0.02003604,0.93306077,0.9338819,0.9990834,30.66933,0.9651063634516199,0.0008571694,0.02003604,0.93306077,0.9338819,0.9990834,30.66933,0.9651063634516199
rfd_fetal_ch.uri_SpV7272_VpF908_FpA9_20121113154148_1.mat,0.0020859577,0.035620857,0.90851915,0.9222429,0.9849963,26.806944,0.9761964943057011,0.041987643,0.19881682,0.6068631,0.678264,0.8910944,13.7687845,0.9184734374250112,0.00089907844,0.021657227,0.93266284,0.9337586,0.99872094,30.462023,0.973839929332621,0.00089907844,0.021657227,0.93266284,0.9337586,0.99872094,30.462023,0.973839929332621
sc_fetal_ch.20160909160351_diff_49.mat,0.0047057616,0.0571455,0.90434754,0.91172457,0.99190056,23.2737,0.9861449389640176,0.024417266,0.13796327,0.60953885,0.6536339,0.92909163,16.12303,0.9278242844087963,0.0007974186,0.018193087,0.913001,0.9133938,0.999542,30.983135,0.9803837140888261,0.0007974186,0.018193087,0.913001,0.9133938,0.999542,30.983135,0.9803837140888261
sc_fetal_ch.20160912110254_diff_49.mat,0.017187659,0.12767035,0.87260973,0.9237244,0.944333,17.647833,0.9846040314024677,0.008078598,0.07500388,0.64518505,0.65700716,0.9809214,20.926638,0.9286043662324099,0.00078331184,0.018567089,0.92508596,0.92560697,0.99940664,31.06065,0.9815044098633992,0.00078331184,0.018567089,0.92508596,0.92560697,0.99940664,31.06065,0.9815044098633992
verasonics.20181112134346_channelData_part33_1.mat,0.0019838763,0.03932593,0.90189797,0.9062509,0.99512297,27.024853,0.9398993251673616,0.02534393,0.15002374,0.41117555,0.4275041,0.96190625,15.96126,0.7680722986918952,0.001295114,0.023807786,0.8772776,0.87805647,0.999018,28.876919,0.9247653812010471,0.001295114,0.023807786,0.8772776,0.87805647,0.999018,28.876919,0.9247653812010471
verasonics.20170523113339_channelData_part31_1.mat,0.015255949,0.121924825,0.8851267,0.91649395,0.96560097,18.165606,0.9730983563608975,0.007125852,0.074004486,0.46152973,0.4648496,0.99289143,21.471632,0.7997085446386423,0.0005685035,0.016425094,0.894813,0.89523375,0.99933434,32.452667,0.969904739869941,0.0005685035,0.016425094,0.894813,0.89523375,0.99933434,32.452667,0.969904739869941
sc_fetal_ch.20160902154837_diff_52.mat,0.012531559,0.102413364,0.8667474,0.90722144,0.95562977,19.019949,0.968610921703906,0.010604544,0.09096694,0.64383817,0.6528675,0.9857701,19.745079,0.9030350138925528,0.0013761601,0.027084423,0.915907,0.9170574,0.99871916,28.613308,0.9679387894437262,0.0013761601,0.027084423,0.915907,0.9170574,0.99871916,28.613308,0.9679387894437262
