filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
mark.20190710152641_channelData_part28_1.mat,0.004756415,0.062270854,0.73508227,0.9009424,0.8154553,23.227201,0.9809388521550132,0.03128977,0.16735059,0.427576,0.50878775,0.8225349,15.045975,0.9478939627063018,0.0016128935,0.025724784,0.8105537,0.81302124,0.9949915,27.923943,0.9758808472350117,0.0016128935,0.025724784,0.8105537,0.81302124,0.9949915,27.923943,0.9758808472350117
patients.20190904114852_channelData_part18_1.mat,0.0072342223,0.080149405,0.60492134,0.90700173,0.66812015,21.40608,0.9775732882050704,0.031823806,0.1666191,0.33299857,0.42565897,0.7657903,14.972478,0.9347717964346473,0.0035683024,0.03870231,0.6750022,0.67823255,0.99384004,24.475384,0.9492621607099778,0.0035683024,0.03870231,0.6750022,0.67823255,0.99384004,24.475384,0.9492621607099778
patients.20190909101613_channelData_part11_1.mat,0.0061969226,0.07259858,0.6832566,0.8902989,0.7691018,22.07824,0.9790384344657604,0.027451899,0.15556613,0.42238367,0.4894019,0.84538686,15.614276,0.9440438988063597,0.003019968,0.034482,0.74255043,0.74547637,0.9941639,25.199974,0.9546088156878918,0.003019968,0.034482,0.74255043,0.74547637,0.9941639,25.199974,0.9546088156878918
patients.20190909111655_channelData_part4_0.mat,0.01879068,0.13092458,0.7347697,0.89167225,0.81400985,17.260574,0.9728932532671544,0.008631377,0.08283628,0.53733146,0.55022216,0.9750192,20.639198,0.9370884281661582,0.0012439721,0.02251619,0.87249273,0.87420845,0.99530476,29.051891,0.9782144389528222,0.0012439721,0.02251619,0.87249273,0.87420845,0.99530476,29.051891,0.9782144389528222
patients.20190909101705_channelData_part17_0.mat,0.0069799484,0.0735287,0.6887742,0.86662924,0.7902146,21.561476,0.9742642304647053,0.01981201,0.13130225,0.49226093,0.55496097,0.8730883,17.030714,0.9638993877310436,0.0021983196,0.030049002,0.7795152,0.7833508,0.98757815,26.57909,0.9750290590912013,0.0021983196,0.030049002,0.7795152,0.7833508,0.98757815,26.57909,0.9750290590912013
patients.20190904104222_channelData_part15_1.mat,0.0023069736,0.0390505,0.8677362,0.8802403,0.9857362,26.369574,0.9611591275999852,0.040102895,0.19192712,0.4579521,0.5137351,0.88704383,13.968242,0.8632214829354764,0.0016784782,0.025647772,0.8814705,0.8835445,0.9973865,27.750841,0.9425102682330595,0.0016784782,0.025647772,0.8814705,0.8835445,0.9973865,27.750841,0.9425102682330595
patients.20190909103623_channelData_part3_1.mat,0.003816818,0.050751638,0.66295576,0.91806316,0.7322333,24.182985,0.9702351999812658,0.019530455,0.12536763,0.37002245,0.49804527,0.6587168,17.092876,0.9675278118309975,0.003740526,0.040042583,0.64284605,0.6620338,0.93088615,24.270672,0.9662407106552067,0.003740526,0.040042583,0.64284605,0.6620338,0.93088615,24.270672,0.9662407106552067
patients.20190909120312_channelData_part1_0.mat,0.008727903,0.0817938,0.5875927,0.8617202,0.6755975,20.590899,0.9242810926703455,0.018338466,0.12516887,0.37176558,0.46762085,0.78136027,17.36637,0.9051885661534023,0.0024862087,0.032333158,0.713692,0.7187194,0.9853574,26.044622,0.9365466743875936,0.0024862087,0.032333158,0.713692,0.7187194,0.9853574,26.044622,0.9365466743875936
mark.20190710153002_channelData_part8_1.mat,0.0050370023,0.05831685,0.7519824,0.8778931,0.8517578,22.978277,0.9593639127443686,0.023222232,0.1417238,0.45932442,0.5559875,0.79520637,16.34096,0.9483343359089201,0.00295559,0.035544947,0.72376335,0.73158157,0.97608435,25.293558,0.9572234620102786,0.00295559,0.035544947,0.72376335,0.73158157,0.97608435,25.293558,0.9572234620102786
patients.20190909101647_channelData_part11_0.mat,0.0036129768,0.048255075,0.7709059,0.86863,0.88585854,24.421347,0.9658763585449015,0.038217954,0.18400197,0.44487134,0.5552259,0.7771347,14.177325,0.9414149246975596,0.0029497722,0.037541173,0.8025912,0.8078214,0.990367,25.302114,0.9638733820705292,0.0029497722,0.037541173,0.8025912,0.8078214,0.990367,25.302114,0.9638733820705292
