filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
mark.20190710152641_channelData_part28_1.mat,0.0013510197,0.029047765,0.9641985,0.9725759,0.99138093,28.69338,0.9941636731522097,0.03128977,0.16735058,0.42757386,0.5087854,0.8225349,15.045975,0.9478939627063018,0.0004123699,0.014467768,0.95875,0.9618518,0.996669,33.84713,0.9938373659120607,0.0004123699,0.014467768,0.95875,0.9618518,0.996669,33.84713,0.9938373659120607
patients.20190904114852_channelData_part18_1.mat,0.001109042,0.025096409,0.9628919,0.97277486,0.9898394,29.55052,0.9927685205655232,0.031823806,0.16661909,0.33299717,0.42565727,0.7657903,14.972479,0.9347717964346473,0.0008816999,0.018753348,0.93967956,0.94151413,0.99789304,30.546791,0.9874631196862556,0.0008816999,0.018753348,0.93967956,0.94151413,0.99789304,30.546791,0.9874631196862556
patients.20190909101613_channelData_part11_1.mat,0.0009881768,0.02215964,0.9675099,0.97213197,0.995221,30.051653,0.9871175084319125,0.027451897,0.15556614,0.42238128,0.48939934,0.84538686,15.614276,0.9440438988063597,0.0015962276,0.027035147,0.9340729,0.93765837,0.9956715,27.96905,0.9760080023898351,0.0015962276,0.027035147,0.9340729,0.93765837,0.9956715,27.96905,0.9760080023898351
patients.20190909111655_channelData_part4_0.mat,0.0047400496,0.06558009,0.932402,0.9726535,0.95838964,23.242168,0.9903168822611511,0.008631377,0.08283628,0.5373273,0.55021787,0.9750192,20.639198,0.9370884281661582,0.0005244108,0.016341887,0.9659535,0.96723026,0.9985999,32.80328,0.9908160464208026,0.0005244108,0.016341887,0.9659535,0.96723026,0.9985999,32.80328,0.9908160464208026
patients.20190909101705_channelData_part17_0.mat,0.00077637116,0.02072875,0.9604814,0.9714535,0.9886977,31.099306,0.993900573903898,0.019812012,0.13130225,0.49225807,0.554958,0.8730883,17.030714,0.9638993877310436,0.000660713,0.016794665,0.95636934,0.9588454,0.99707705,31.799871,0.9924948928624411,0.000660713,0.016794665,0.95636934,0.9588454,0.99707705,31.799871,0.9924948928624411
patients.20190904104222_channelData_part15_1.mat,0.0030943367,0.050597753,0.96138304,0.9741846,0.98684746,25.094322,0.9733253772672918,0.040102895,0.19192712,0.45794904,0.5137317,0.88704395,13.968242,0.8632214829354764,0.0010621349,0.022709789,0.9632061,0.964983,0.99810785,29.738203,0.9635942118438094,0.0010621349,0.022709789,0.9632061,0.964983,0.99810785,29.738203,0.9635942118438094
patients.20190909103623_channelData_part3_1.mat,0.0004605764,0.014700546,0.96216935,0.9812738,0.9805673,33.36698,0.9945578209355362,0.019530457,0.12536763,0.37002024,0.49804294,0.6587168,17.092875,0.9675278118309975,0.0012055908,0.023997907,0.80632305,0.8316959,0.94718,29.188,0.9894470495589555,0.0012055908,0.023997907,0.80632305,0.8316959,0.94718,29.188,0.9894470495589555
patients.20190909120312_channelData_part1_0.mat,0.00039643174,0.014957392,0.9580037,0.9682388,0.9894108,34.018314,0.9886002555841567,0.018338466,0.12516886,0.3717646,0.46761963,0.7813604,17.36637,0.9051885661534023,0.000721554,0.017335858,0.93647194,0.9433496,0.9917986,31.417309,0.9815846169800446,0.000721554,0.017335858,0.93647194,0.9433496,0.9917986,31.417309,0.9815846169800446
mark.20190710153002_channelData_part8_1.mat,0.0006914714,0.01770954,0.9624866,0.97232467,0.98984563,31.602255,0.992330110506467,0.023222232,0.14172381,0.45932254,0.5559854,0.79520637,16.34096,0.9483343359089201,0.0006645572,0.01815862,0.9431042,0.9500318,0.9910478,31.774675,0.9903814198313519,0.0006645572,0.01815862,0.9431042,0.9500318,0.9910478,31.774675,0.9903814198313519
patients.20190909101647_channelData_part11_0.mat,0.00319563,0.04562897,0.94078857,0.9660043,0.97364837,24.954435,0.9908554067175894,0.038217958,0.18400195,0.4448691,0.55522346,0.77713466,14.177325,0.9414149246975596,0.0008870998,0.020029837,0.95772797,0.95996356,0.9974198,30.520273,0.9891353419006829,0.0008870998,0.020029837,0.95772797,0.95996356,0.9974198,30.520273,0.9891353419006829
patients.20190909101726_channelData_part14_1.mat,0.00083138444,0.020260805,0.9711176,0.9733799,0.99765754,30.80198,0.9872175427925768,0.02631659,0.15351993,0.50878626,0.560801,0.90432763,15.797704,0.9232983897454998,0.0007271867,0.018595247,0.9659907,0.9675214,0.99836224,31.38354,0.984000533207022,0.0007271867,0.018595247,0.9659907,0.9675214,0.99836224,31.38354,0.984000533207022
