filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
mark.20190710152641_channelData_part28_1.mat,0.0015005424,0.030924639,0.9492686,0.96011806,0.98862946,28.237516,0.9900992938546325,0.03128977,0.16735059,0.427576,0.50878775,0.8225349,15.045975,0.9478939627063018,0.00069709896,0.017850244,0.9381178,0.94166154,0.9961195,31.567055,0.9895786097938761,0.00069709896,0.017850244,0.9381178,0.94166154,0.9961195,31.567055,0.9895786097938761
patients.20190904114852_channelData_part18_1.mat,0.0022349206,0.034255695,0.9387277,0.9550027,0.9829525,26.507378,0.9836448206235305,0.031823806,0.1666191,0.33299857,0.42565897,0.7657903,14.972478,0.9347717964346473,0.001519057,0.022715174,0.91160256,0.9137791,0.9974169,28.184258,0.9784043626494537,0.001519057,0.022715174,0.91160256,0.9137791,0.9974169,28.184258,0.9784043626494537
patients.20190909101613_channelData_part11_1.mat,0.0011731152,0.023344506,0.9511266,0.95589226,0.99494976,29.306593,0.9880459417776517,0.027451899,0.15556613,0.42238367,0.4894019,0.84538686,15.614276,0.9440438988063597,0.0015411943,0.024369948,0.91243,0.9150883,0.9966172,28.121426,0.9768344926136955,0.0015411943,0.024369948,0.91243,0.9150883,0.9966172,28.121426,0.9768344926136955
patients.20190909111655_channelData_part4_0.mat,0.005077826,0.06676617,0.91134566,0.94733566,0.9617905,22.943222,0.9854477944565101,0.008631377,0.08283628,0.53733146,0.55022216,0.9750192,20.639198,0.9370884281661582,0.0008044333,0.019885251,0.93756855,0.9393124,0.9980089,30.945097,0.9859120386969282,0.0008044333,0.019885251,0.93756855,0.9393124,0.9980089,30.945097,0.9859120386969282
patients.20190909101705_channelData_part17_0.mat,0.00071586965,0.018466389,0.9483898,0.9548719,0.9932121,31.45166,0.9914820195636725,0.01981201,0.13130225,0.49226093,0.55496097,0.8730883,17.030714,0.9638993877310436,0.0008993512,0.01994785,0.9302467,0.9325311,0.99736315,30.460705,0.9897850224722293,0.0008993512,0.01994785,0.9302467,0.9325311,0.99736315,30.460705,0.9897850224722293
patients.20190904104222_channelData_part15_1.mat,0.0036033792,0.05591347,0.94412434,0.9588368,0.98466307,24.4329,0.9693625569827932,0.040102895,0.19192712,0.4579521,0.5137351,0.88704383,13.968242,0.8632214829354764,0.0011354381,0.020451963,0.93925613,0.94027734,0.9988589,29.448364,0.961081663572943,0.0011354381,0.020451963,0.93925613,0.94027734,0.9988589,29.448364,0.961081663572943
patients.20190909103623_channelData_part3_1.mat,0.00054524525,0.015931318,0.8854634,0.9552662,0.92640877,32.63408,0.9940453402442897,0.019530455,0.12536763,0.37002245,0.49804527,0.6587168,17.092876,0.9675278118309975,0.0012657787,0.02391702,0.7783659,0.8046858,0.94266146,28.97642,0.9888959791913399,0.0012657787,0.02391702,0.7783659,0.8046858,0.94266146,28.97642,0.9888959791913399
patients.20190909120312_channelData_part1_0.mat,0.0005891565,0.01706655,0.93735254,0.9499163,0.9866123,32.29769,0.9842592312427503,0.018338466,0.12516887,0.37176558,0.46762085,0.78136027,17.36637,0.9051885661534023,0.00093391276,0.020105215,0.9040207,0.9103465,0.99191326,30.296936,0.9761645565803394,0.00093391276,0.020105215,0.9040207,0.9103465,0.99191326,30.296936,0.9761645565803394
mark.20190710153002_channelData_part8_1.mat,0.00066080195,0.01887584,0.94593626,0.95758444,0.9877414,31.799286,0.9890352103216982,0.023222232,0.1417238,0.45932442,0.5559875,0.79520637,16.34096,0.9483343359089201,0.0009207545,0.021140365,0.9183444,0.92532915,0.99087626,30.35856,0.9866734455257313,0.0009207545,0.021140365,0.9183444,0.92532915,0.99087626,30.35856,0.9866734455257313
patients.20190909101647_channelData_part11_0.mat,0.0040533934,0.050874792,0.91290057,0.9455119,0.9651386,23.92181,0.9802074938091868,0.038217954,0.18400197,0.44487134,0.5552259,0.7771347,14.177325,0.9414149246975596,0.0016189067,0.027723383,0.9208045,0.92544484,0.99437195,27.907782,0.9801759767421021,0.0016189067,0.027723383,0.9208045,0.92544484,0.99437195,27.907782,0.9801759767421021
patients.20190909101726_channelData_part14_1.mat,0.000948022,0.021844087,0.9492479,0.95236313,0.9966599,30.231815,0.9797149909118332,0.02631659,0.15351994,0.50878894,0.5608039,0.90432763,15.797703,0.9232983897454998,0.0010012086,0.021165831,0.9380381,0.93965876,0.9982145,29.994753,0.9779735941454191,0.0010012086,0.021165831,0.9380381,0.93965876,0.9982145,29.994753,0.9779735941454191
patients.20190904110310_channelData_part9_0.mat,0.0022912386,0.038019862,0.95177233,0.96082866,0.990537,26.399296,0.9976823993118372,0.0118865175,0.098685734,0.43639633,0.5016443,0.84003323,19.249453,0.9753669424224874,0.0005779585,0.01488263,0.9277747,0.9297802,0.99750453,32.38103,0.9953746454950146,0.0005779585,0.01488263,0.9277747,0.9297802,0.99750453,32.38103,0.9953746454950146
patients.20190909103554_channelData_part12_0.mat,0.001861098,0.037455007,0.9464545,0.960644,0.9852417,27.302307,0.9967250011130372,0.011371159,0.097269885,0.45849496,0.49691215,0.9092694,19.441952,0.9732081638093828,0.00055268576,0.014826962,0.93618965,0.9381243,0.99766356,32.575214,0.9953694704340749,0.00055268576,0.014826962,0.93618965,0.9381243,0.99766356,32.575214,0.9953694704340749
patients.20190909114332_channelData_part20_1.mat,0.0007189524,0.01389145,0.9548057,0.95817196,0.99641913,31.432997,0.9875541305642165,0.021104598,0.13437746,0.33798695,0.42701066,0.77639633,16.75623,0.9370286743866948,0.0011128109,0.021258513,0.9057335,0.90781194,0.9975878,29.535786,0.9835175908534907,0.0011128109,0.021258513,0.9057335,0.90781194,0.9975878,29.535786,0.9835175908534907
patients.20190909105357_channelData_part2_1.mat,0.00240241,0.03668122,0.9244638,0.931469,0.99233484,26.193527,0.980877655329683,0.017281044,0.11940315,0.5640955,0.6096572,0.9197825,17.6243,0.9427840308075344,0.0015874436,0.02618094,0.9267016,0.92925185,0.9970314,27.993017,0.9767433266634237,0.0015874436,0.02618094,0.9267016,0.92925185,0.9970314,27.993017,0.9767433266634237
patients.20190904112847_channelData_part1_0.mat,0.0014884255,0.033580415,0.91079146,0.9569126,0.95159954,28.272728,0.9910603559296313,0.011574499,0.09784218,0.41796347,0.48791355,0.85711503,19.364977,0.9285924404078778,0.00069084525,0.017356059,0.91196096,0.9161497,0.9949044,31.60619,0.9848875771457296,0.00069084525,0.017356059,0.91196096,0.9161497,0.9949044,31.60619,0.9848875771457296
